Full Name,Department,Subject,Subject ID
DR. ALICE SMITH,College of Computer Studies,Introduction to IT,IT101
DR. ALICE SMITH,College of Computer Studies,Data Structures,CS102
DR. ALICE SMITH,College of Computer Studies,Discrete Mathematics,MATH104
PROF. BOB JOHNSON,College of Business Administration,Business Management,BSBA103
PROF. BOB JOHNSON,College of Business Administration,Ethics,GE105
PROF. BOB JOHNSON,College of Business Administration,Physical Education,PE106
MR. CHARLIE DAVIS,College of Computer Studies,Introduction to IT,IT101
MR. CHARLIE DAVIS,College of Computer Studies,Data Structures,CS102
MR. CHARLIE DAVIS,College of Computer Studies,Ethics,GE105
MS. DIANA PRINCE,College of Education,Discrete Mathematics,MATH104
MS. DIANA PRINCE,College of Education,Physical Education,PE106
MS. DIANA PRINCE,College of Education,Introduction to IT,IT101
DR. EDWARD NORTON,College of Entrepreneurship,Business Management,BSBA103
DR. EDWARD NORTON,College of Entrepreneurship,Data Structures,CS102
DR. EDWARD NORTON,College of Entrepreneurship,Ethics,GE105
